Success,Time (us)
No,92
No,88
No,88
No,88
No,88
No,88
No,88
No,88
No,88
No,88
No,93
No,88
No,87
No,88
No,88
No,88
No,88
No,100
No,91
No,90
No,91
No,87
No,85
No,85
No,79
No,75
No,81
No,76
No,76
No,78
No,94
No,91
No,89
No,89
No,88
No,83
No,83
No,85
No,88
No,85
No,86
No,82
No,82
No,84
No,83
No,84
No,83
No,83
No,87
No,89
No,90
No,85
No,87
No,80
No,80
No,80
No,80
No,80
No,96
No,89
No,93
No,80
No,79
No,78
No,77
No,77
No,77
No,77
No,77
No,205
No,92
No,84
No,82
No,82
No,79
No,85
No,83
No,80
No,78
No,77
No,93
No,81
No,80
No,80
No,79
No,79
No,79
No,79
No,79
No,79
No,90
No,87
No,81
No,82
No,101
No,90
No,85
No,85
No,85
No,85
No,89
No,81
No,80
No,80
No,84
No,83
No,80
No,79
No,79
No,80
No,115
No,87
No,81
No,83
No,85
No,85
No,78
No,79
No,79
No,77
No,89
No,85
No,82
No,116
No,86
No,86
No,89
No,84
No,84
No,84
No,94
No,88
No,87
No,86
No,84
No,80
No,80
No,80
No,80
No,80
No,86
No,82
No,86
No,90
No,89
No,84
No,84
No,84
No,84
No,84
No,87
No,84
No,81
No,81
No,80
No,78
No,81
No,80
No,77
No,78
No,91
No,83
No,86
No,83
No,83
No,87
No,84
No,83
No,83
No,87
No,92
No,89
No,89
No,87
No,83
No,82
No,82
No,81
No,81
No,81
No,88
No,85
No,93
No,84
No,80
No,79
No,78
No,78
No,77
No,77
No,86
No,88
No,81
No,182
No,85
No,86
No,86
No,85
No,86
No,85
No,93
No,84
No,83
No,86
No,82
No,80
No,80
No,89
No,82
No,79
No,107
No,89
No,88
No,87
No,87
No,88
No,79
No,79
No,79
No,79
No,92
No,85
No,84
No,80
No,75
No,75
No,76
No,75
No,99
No,93
No,88
No,86
No,86
No,81
No,79
No,79
No,79
No,79
No,79
No,80
No,89
No,88
No,87
No,88
No,87
No,84
No,81
No,81
No,81
No,81
No,101
No,81
No,83
No,80
No,81
No,83
No,79
No,78
No,78
No,79
No,89
No,88
No,93
No,88
No,86
No,80
No,82
No,82
No,83
No,80
No,93
No,86
No,83
No,87
No,85
No,77
No,75
No,75
No,75
No,76
Yes,149
Yes,129
Yes,141
Yes,125
Yes,123
Yes,123
Yes,122
Yes,122
Yes,122
Yes,122
Yes,69
Yes,70
Yes,65
Yes,64
Yes,64
Yes,64
Yes,63
Yes,63
Yes,63
Yes,56
Yes,33
Yes,28
Yes,28
Yes,114
Yes,29
Yes,25
Yes,26
Yes,24
Yes,24
Yes,24
Yes,42
Yes,38
Yes,36
Yes,36
Yes,35
Yes,36
Yes,37
Yes,36
Yes,36
Yes,36
Yes,39
Yes,35
Yes,36
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,41
Yes,38
Yes,35
Yes,45
Yes,35
Yes,35
Yes,39
Yes,35
Yes,43
Yes,46
Yes,36
Yes,41
Yes,37
Yes,37
Yes,35
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,42
Yes,37
Yes,37
Yes,36
Yes,36
Yes,36
Yes,36
Yes,36
Yes,37
Yes,34
Yes,38
Yes,34
Yes,34
Yes,34
Yes,34
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,37
Yes,34
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,33
Yes,32
Yes,61
Yes,36
Yes,36
Yes,36
Yes,36
Yes,34
Yes,33
Yes,33
Yes,35
Yes,35
Yes,109
Yes,90
Yes,84
Yes,81
Yes,82
Yes,79
Yes,80
Yes,78
Yes,78
Yes,77
No,99
No,82
No,141
No,91
No,91
No,89
No,85
No,79
No,79
No,79
No,91
No,81
No,83
No,82
No,80
No,77
No,79
No,119
No,113
No,85
No,82
No,88
No,87
No,85
No,82
No,82
No,84
No,81
No,81
No,81
No,88
No,84
No,84
No,84
No,85
No,81
No,79
No,79
No,79
No,86
No,91
No,84
No,81
No,81
No,81
No,80
No,74
No,74
No,73
No,88
Yes,76
Yes,60
Yes,124
Yes,62
Yes,62
Yes,60
Yes,60
Yes,60
Yes,90
Yes,60
Yes,57
Yes,53
Yes,52
Yes,51
Yes,52
Yes,56
Yes,58
Yes,52
Yes,53
Yes,50
Yes,59
Yes,52
Yes,62
Yes,55
Yes,56
Yes,55
Yes,55
Yes,87
Yes,56
Yes,54
Yes,57
Yes,53
Yes,53
Yes,52
Yes,53
Yes,62
Yes,52
Yes,51
Yes,51
Yes,51
Yes,58
Yes,52
Yes,52
Yes,51
Yes,62
Yes,56
Yes,52
Yes,55
Yes,56
Yes,62
Yes,61
Yes,53
Yes,53
Yes,52
Yes,52
Yes,55
Yes,52
Yes,66
Yes,59
Yes,59
